age,experience,won,lost,draw
25,5,40,10,5
28,7,55,15,10
23,3,20,5,3
30,10,70,25,10
27,6,45,12,8
29,9,60,20,10
26,4,30,8,4
31,11,80,30,12
24,5,35,10,6
28,8,50,15,9
25,4,38,11,5
29,10,65,22,11
23,3,22,6,3
30,12,75,28,15
27,6,48,13,8
26,5,42,10,6
31,10,72,25,11
24,4,32,9,5
28,7,52,16,10
25,5,41,12,6
30,9,68,23,12
23,4,25,7,4
31,11,78,32,16
27,7,50,14,9
26,6,44,11,7
29,10,62,21,10
25,5,35,8,4
30,12,85,35,18
24,4,33,10,6
28,8,55,18,11
26,6,46,13,8
31,10,70,26,12
25,5,40,11,5
29,9,64,20,9
23,3,27,8,4
30,11,76,30,15
27,6,49,15,9
26,5,43,12,7
31,12,82,34,17
24,5,34,10,7
28,7,51,17,10
25,4,39,10,5
30,10,66,24,13
23,3,23,6,3
31,13,88,38,20
27,7,51,16,10
26,6,45,14,8
29,11,67,25,14
25,5,36,9,4
24,4,31,7,4
